公告,#genre#
软件免费,https://vdse.bdstatic.com//51db5e5c7cc0e38d921d82dfb54438c8.mp4?authorization=bce-auth-v1/40f207e648424f47b2e3dfbb1014b1a5/2024-10-22T21:32:06Z/-1/host/d3d92d59144a80953bb56ea6e87eeb6378b9aed6663972bfec6dc788aa5a0154&vid=12064163030189163061
记得加群,https://vdse.bdstatic.com/1c2dc5580507bc1b0ef507c63b3fc461.mp4?
交流群:165734329,https://cfss.cc/api/kg/6224E256FA4255F675D28659F1B781E8.mp4 

央视频道,#genre#

CCTV1,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv1					
CCTV2,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv2
CCTV3,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv3		
CCTV4,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv4		
CCTV5,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv5		
CCTV5+,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv5p	
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv6		
CCTV7,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv7		
CCTV8,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv8		
CCTV9,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv9		
CCTV10,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv10		
CCTV11,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv11		
CCTV12,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv12	
CCTV13,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv13		
CCTV14,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv14		
CCTV15,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv15	
CCTV1,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv16
CCTV17,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv17

CCTV1,http://14.135.72.70:8888/rtp/239.121.4.113:8636
CCTV2,http://14.135.72.70:8888/rtp/239.121.4.155:8914
CCTV3,http://14.135.72.70:8888/rtp/239.121.4.151:8890
CCTV4,http://14.135.72.70:8888/rtp/239.121.4.134:8786
CCTV5,http://14.135.72.70:8888/rtp/239.121.4.140:8852
CCTV5,http://14.135.72.70:8888/rtp/239.121.4.152:8896
CCTV6,http://14.135.72.70:8888/rtp/239.121.4.153:8902
CCTV7,http://14.135.72.70:8888/rtp/239.121.4.156:8920
CCTV8,http://14.135.72.70:8888/rtp/239.121.4.154:8908
CCTV9,http://14.135.72.70:8888/rtp/239.121.4.157:8926
CCTV10,http://14.135.72.70:8888/rtp/239.121.4.158:8932
CCTV11,http://14.135.72.70:8888/rtp/239.121.4.150:9202
CCTV12,http://14.135.72.70:8888/rtp/239.121.4.159:8938
CCTV13,http://14.135.72.70:8888/rtp/239.121.4.13:8028
